id,output_filename,object_name,variant,subject_description,primary_colors,view,canvas_size,canvas_occupancy,recipe_id,merge_recipe,recipe_role,recipe_type
001,001_world_travel_passport.png,세계여행 여권,지구 문양 여권,"둥근 모서리의 짙은 초록색 여권 한 권. 살짝 펼쳐져 두꺼운 표지와 크림색 속지가 보이고, 표지 중앙에는 글자 없이 단순한 금색 지구 문양과 작은 비행기 선만 있음. 국가명, 번호, 문자, 도장은 없음.","짙은 초록색, 금색, 크림색",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C001,비행기 + 여행가방 + 지도 + 카메라 = 세계여행 여권,결과,직관형
002,002_racing_toy_car.png,장난감자동차,경주용 자동차형,"낮고 길쭉한 몸체와 큰 바퀴 네 개, 뒤쪽의 작은 날개가 있는 장난감 경주용 자동차 한 대. 창문과 문 선은 최소한으로 표현하고 번호나 글자는 없음.","빨간색, 노란색, 검정색, 하늘색 포인트",측면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),C003,레이싱 깃발 + 장난감자동차 + 장난감기차 = 스피드 코스,재료C,비유형
003,003_speed_course.png,스피드 코스,교통놀이 코스,"낮고 둥근 직사각형 놀이 매트 위에 타원형 도로 트랙과 짧은 철도선, 검정·흰색 결승선이 함께 있는 미니 스피드 코스 한 세트. 코스 위에는 빨간 장난감자동차와 작은 장난감기차가 놓이고 결승점에는 체크무늬 레이싱 깃발이 꽂혀 있음. 중앙의 연두색 공간은 비어 있으며 글자와 숫자는 없음.","하늘색, 연두색, 빨간색, 노란색, 검정색, 흰색",살짝 위에서 바라본 3/4 시점,큼,제한축 기준 약 78–83% (보통의 약 1.1배),C003,레이싱 깃발 + 장난감자동차 + 장난감기차 = 스피드 코스,결과,비유형
004,004_space_travel_poster.png,우주여행 포스터,레트로 우주 여행 포스터,"둥근 모서리의 세로형 레트로 SF 우주 포스터 한 장. 짙은 남색 우주를 배경으로 아래쪽의 붉은 행성에서 크림색·주황색 우주선이 오른쪽 위를 향해 대각선으로 힘차게 발사되는 구도를 가장 크게 표현함. 주변에는 작은 지구본 모양 행성, 긴 꼬리의 별똥별, 아래 모서리의 작은 천체 망원경 실루엣을 배치함. 1950~60년대 우주 여행 광고처럼 제한된 색면, 굵은 외곽선, 단순한 기하학적 음영과 살짝 바랜 실크스크린 인쇄 질감을 사용함. 포스터 바깥은 투명하고 글자, 숫자, 로고, 워터마크는 없음.","짙은 남색, 크림색, 주황색, 벽돌색, 빨간색, 노란색 포인트",정면,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C004,우주선 + 망원경 + 별똥별 + 지구본 = 우주여행 포스터,결과,비유형
005,005_explorer_badge.png,탐험가 배지,보이스카우트 배지 띠,"짙은 초록색 보이스카우트 어깨띠 한 장이 완만한 대각선으로 놓이고, 띠 위에 둥근 자수 배지 네 개만 간격을 두고 달린 모습. 배지에는 나침반, 발자국, 쌍안경, 손전등을 각각 하나의 단순한 그림으로 표현함. 배지는 최대 다섯 개를 넘지 않으며 현재 구성은 네 개이고, 셔츠·사람·추가 장식은 없음. 자수 가장자리와 짧은 실선으로 패브릭 느낌을 내되 글자, 숫자, 로고는 없음.","짙은 초록색, 베이지색, 금색, 빨간색, 하늘색 포인트",정면,아주작음,제한축 기준 약 18–22% (보통의 약 1/4),C005,발자국 + 나침반 + 쌍안경 + 손전등 = 탐험가 배지,결과,비유형
006,006_picnic_basket.png,피크닉 바구니,도시락 바구니,"둥근 손잡이가 달린 짜임새 단순한 갈색 피크닉 바구니 한 개. 열린 뚜껑 안에 작은 도시락과 삼각김밥, 문어 다리 모양으로 칼집 낸 빨간 소세지, 노른자가 보이는 계란 프라이를 한눈에 구분되게 담음. 모든 음식은 바구니 안에 자연스럽게 모여 있음.","갈색, 베이지색, 빨간색, 노란색, 흰색, 초록색 포인트",살짝 위에서 바라본 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C006,도시락 + 삼각김밥 + 문어 모양 소세지 + 계란 프라이 = 피크닉 바구니,결과,직관형
007,007_pub_platter.png,펍 플래터,안주 플래터,"둥근 모서리의 넓은 나무 플래터 한 개 위에 삼각형 피자 한 조각, 빨간 종이 용기의 감자튀김, 거품이 얹힌 작은 맥주잔, 분홍색 칵테일잔을 보기 좋게 모아 놓은 펍 안주 세트. 모든 구성은 플래터 안에 포함되고 글자와 로고는 없음.","갈색, 빨간색, 노란색, 주황색, 분홍색, 흰색",살짝 위에서 바라본 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C007,피자 + 감자튀김 + 맥주 + 칵테일 = 펍 플래터,결과,직관형
008,008_pink_chocolate_macaron.png,마카롱,핑크 초콜릿 마카롱,둥글고 도톰한 분홍색 비스킷 껍질 두 장 사이에 짙은 초콜릿 크림이 보이는 마카롱 한 개. 가장자리의 울퉁불퉁한 비스킷 결은 짧은 검은 선 몇 개로만 단순하게 표현하고 장식과 글자는 없음.,"분홍색, 초콜릿 갈색, 비스킷 베이지색",측면 3/4 시점,아주작음,제한축 기준 약 18–22% (보통의 약 1/4),C008,마카롱 + 초코도넛 + 아이스크림 + 비스킷 = 디저트 타워,재료A,직관형
009,009_dessert_tower.png,디저트 타워,3단 디저트 스탠드,"둥근 접시 세 층이 세로 기둥으로 이어진 3단 디저트 타워 한 세트. 각 층에 분홍색·민트색·연보라색 마카롱, 초콜릿색·딸기색·크림색 코팅 도넛, 비스킷색 콘 아이스크림, 별과 꽃 모양의 납작한 베이지색 비스킷을 균형 있게 올림. 전체는 핑크색·초콜릿 갈색·비스킷 베이지색을 중심으로 통일하되 마카롱과 도넛은 서로 다른 색으로 또렷하게 구분함. 우유팩과 음료 용기는 넣지 않으며 글자와 로고는 없음.","분홍색, 민트색, 연보라색, 초콜릿 갈색, 비스킷 베이지색, 크림색",정면 3/4 시점,큼,제한축 기준 약 78–83% (보통의 약 1.1배),C008,마카롱 + 초코도넛 + 아이스크림 + 비스킷 = 디저트 타워,결과,직관형
010,010_lucky_flowerpot.png,행운의 화분,얼굴 네잎클로버 판타지 화분,"둥근 테라코타 화분 한 개에서 커다란 네잎클로버 한 송이가 중심으로 높게 자란 모습. 네잎클로버는 정확히 한 개이며 네 장의 잎이 또렷하고 중앙에 작은 점 눈 두 개와 짧은 곡선 입으로 귀여운 얼굴을 표현함. 화분 둘레는 청록색 고사리, 말린 새순, 금빛 풀, 작은 빛방울 꽃처럼 판타지스러운 풀이 풍성하게 채우되 다른 큰 꽃이나 추가 클로버는 없음. 잎과 풀 주변에는 작은 반짝임 몇 개만 넣고 글자, 화분 무늬, 배경은 없음.","밝은 초록색, 청록색, 금빛 노란색, 테라코타 주황색, 하늘색 포인트",정면 3/4 시점,보통,제한축 기준 약 70–75% (균형적인 기본 크기),C013,클로버 + 씨앗 + 해바라기 + 물뿌리개 = 행운의 화분,결과,비유형
