output_filename,object_name,variant,canvas_size,canvas_occupancy,subject_description,primary_colors,view,source_set,source_id,asset_id,recipe_id,merge_recipe,recipe_role,recipe_type
001_airplane.png,비행기,일반,아주큼,"제한축 기준 목표 942px (약 92%, 허용 90–94%)","둥글고 단순화된 동체에 좌우 날개, 꼬리날개, 작은 창문이 있는 여객기 한 대. 장난감처럼 친근하고 한눈에 비행기로 알아볼 수 있는 형태.","흰색, 하늘색, 빨간색 포인트",살짝 위에서 바라본 측면 3/4 시점,CSV 1,001,csv1-001,,,,
002_lunchbox.png,도시락,일반,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",뚜껑이 열린 직사각형 도시락 한 개. 밥과 반찬이 단순한 칸으로 나뉘어 담겨 있으며 모든 구성은 하나의 도시락 안에 포함됨.,"노란색, 주황색, 초록색, 흰색",살짝 위에서 바라본 3/4 시점,CSV 1,002,csv1-002,,,,
003_lightning.png,번개,일반,아주큼,"제한축 기준 목표 942px (약 92%, 허용 90–94%)",굵고 단순한 지그재그 실루엣의 번개 한 줄기. 끝부분은 뾰족하지만 전체 인상은 둥글고 친근함.,"밝은 노란색, 주황색 포인트",정면,CSV 1,003,csv1-003,,,,
004_four_leaf_clover.png,클로버,네잎,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",크기가 비슷한 둥근 하트 모양 잎 네 장과 짧은 줄기로 이루어진 네잎클로버 한 개. 네 장의 잎이 명확하게 구분됨.,"밝은 초록색, 짙은 초록색",정면,CSV 1,004,csv1-004,,,,
005_three_leaf_clover.png,클로버,세잎,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",크기가 비슷한 둥근 하트 모양 잎 세 장과 짧은 줄기로 이루어진 세잎클로버 한 개. 세 장의 잎이 명확하게 구분됨.,"밝은 초록색, 짙은 초록색",정면,CSV 1,005,csv1-005,,,,
006_snail_tucked_in.png,달팽이,웅크린 형태,아주큼,"제한축 기준 실제 985px (약 96.2%, 허용 94–98%)",둥근 나선형 껍데기를 등에 지고 몸을 낮춘 달팽이 한 마리. 껍데기 옆으로 둥근 얼굴과 두 더듬이가 보이며 몸은 짧고 통통하게 웅크린 자세.,"갈색, 베이지색, 연두색 포인트",측면,CSV 1,006,csv1-006,,,,
007_snail_out.png,달팽이,나와 있는 형태,아주큼,"제한축 기준 실제 985px (약 96.2%, 허용 94–98%)",둥근 나선형 껍데기를 등에 지고 몸과 머리를 길게 내민 달팽이 한 마리. 두 개의 더듬이와 단순한 얼굴이 보임.,"갈색, 베이지색, 연두색 포인트",측면,CSV 1,007,csv1-007,,,,
008_open_umbrella.png,우산,펼쳐진 우산,큼,"제한축 기준 목표 824px (약 80.5%, 허용 78–83%)",둥근 여러 칸의 우산천이 활짝 펼쳐지고 아래로 곧은 자루와 굽은 손잡이가 이어진 우산 한 개.,"빨간색, 분홍색, 짙은 갈색",정면에 가까운 3/4 시점,CSV 1,008,csv1-008,,,,
009_folded_umbrella.png,우산,접힌 우산,보통,"제한축 기준 목표 742px (약 72.5%, 허용 70–75%)",우산천을 길고 가늘게 접어 끈으로 묶은 우산 한 개. 끝부분과 굽은 손잡이가 모두 보임.,"빨간색, 분홍색, 짙은 갈색",측면 3/4 시점,CSV 1,009,csv1-009,,,,
010_open_laptop.png,노트북,열림,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)","화면이 열린 노트북 한 대. 검은 화면, 얇은 화면 테두리, 단순한 키보드와 트랙패드가 보임.","회색, 검정색, 하늘색 포인트",살짝 위에서 바라본 정면 3/4 시점,CSV 1,010,csv1-010,,,,
011_closed_laptop.png,노트북,닫힘,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",덮개를 완전히 닫은 얇은 노트북 한 대. 둥근 모서리의 직사각형 덮개와 얇은 본체가 구분됨.,"회색, 검정색, 하늘색 포인트",살짝 위에서 바라본 3/4 시점,CSV 1,011,csv1-011,,,,
012_leaf.png,나뭇잎,일반 나뭇잎,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)","끝이 살짝 뾰족한 타원형 나뭇잎 한 장. 가운데 잎맥과 몇 개의 단순한 곁잎맥, 짧은 잎자루가 있음.","밝은 초록색, 짙은 초록색",정면,CSV 1,012,csv1-012,,,,
013_maple_leaf.png,나뭇잎,단풍잎,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",다섯 갈래가 또렷하게 펼쳐진 단풍잎 한 장. 짧은 잎자루와 최소한의 잎맥이 보임.,"주황색, 빨간색, 노란색 포인트",정면,CSV 1,013,csv1-013,,,,
014_sausage.png,소세지,일반,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",양쪽 끝이 둥근 통통한 소세지 한 개. 표면에 짧은 사선 칼집 두세 개만 있음.,"붉은 갈색, 주황색",측면 3/4 시점,CSV 1,014,csv1-014,,,,
015_octopus_sausage.png,소세지,문어 모양,아주작음,"제한축 기준 목표 205px (약 20%, 허용 18–22%)",도시락용 소세지 한 개의 아래쪽을 여러 갈래로 잘라 문어 다리처럼 벌린 형태. 위쪽에는 단순하고 귀여운 얼굴이 있음.,"붉은 갈색, 주황색",정면 3/4 시점,CSV 1,015,csv1-015,,,,
016_highball_cocktail.png,칵테일,일반 컵 형태,작음,"제한축 기준 목표 384px (약 37.5%, 허용 35–40%)",곧은 옆면의 일반적인 긴 유리컵 한 개에 칵테일과 얼음이 담긴 모습. 짧은 빨대와 작은 과일 장식이 컵에 포함됨.,"청록색, 노란색, 주황색 포인트",정면 3/4 시점,CSV 1,016,csv1-016,,,,
