id,output_filename,object_name,variant,subject_description,primary_colors,view,canvas_size,canvas_occupancy,reference_image
001,001_airplane_hidden_biplane.png,비행기,히든 · 복엽 프로펠러기,"위아래로 겹친 넓은 날개 두 쌍과 앞쪽의 둥근 프로펠러, 짧고 통통한 동체, 작은 개방형 조종석이 있는 빈티지 복엽기 한 대. 여객기형 일반 디자인과 실루엣이 즉시 구분되며 글자, 번호, 로고는 없음.","크림색, 빨간색, 하늘색, 짙은 갈색 포인트",살짝 위에서 바라본 측면 3/4 시점,아주큼,제한축 기준 약 90–94% (가장자리 여백만 남김),
002,002_alarm_clock_hidden_digital.png,알람시계,히든 · 디지털 탁상형,"모서리가 둥근 낮은 직사각형 디지털 알람시계 한 개. 앞면에는 짙은 화면과 숫자로 읽히지 않는 짧은 발광 막대 네 개가 있고, 윗면에는 큼직한 알람 버튼 두 개와 뒤쪽의 짧은 전원선이 있음. 쌍종형 일반 디자인과 구조가 확실히 다르며 글자, 실제 숫자, 로고는 없음.","짙은 남색, 검정색, 민트색, 주황색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
003,003_beer_hidden_bottle.png,맥주,히든 · 병맥주,목이 길고 몸통이 둥근 갈색 유리 맥주병 한 병. 윗부분에는 닫힌 금색 병뚜껑이 있고 몸통 중앙에는 글자와 상표가 전혀 없는 크림색 타원 라벨만 있음. 손잡이 달린 맥주잔형 일반 디자인과 실루엣이 확실히 다름.,"짙은 갈색, 황금색, 크림색, 검정색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
004,004_americano_hidden_iced.png,아메리카노,히든 · 아이스 아메리카노,"투명한 일회용 컵 한 개에 짙은 갈색 아이스 아메리카노와 큼직한 얼음 조각이 담긴 모습. 평평한 투명 뚜껑 중앙에 굵은 빨대 하나가 꽂혀 있음. 따뜻한 머그잔형 일반 디자인과 상태와 용기 구조가 확실히 다르며 글자, 상표, 로고는 없음.","투명색, 짙은 갈색, 연한 하늘색, 흰색, 빨간색 포인트",정면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
005,005_bicycle_hidden_folding.png,자전거,히든 · 접이식 자전거,"작은 바퀴 두 개와 가운데 접힘 관절이 또렷한 낮은 프레임, 길게 올라온 안장 기둥과 손잡이 기둥이 있는 접이식 자전거 한 대. 일반 생활 자전거보다 바퀴와 프레임 비율이 확실히 다르고 체인과 기어는 짧은 선으로만 단순화함. 글자와 로고는 없음.","민트색, 노란색, 검정색, 회색 포인트",측면,큼,제한축 기준 약 78–83% (보통의 약 1.1배),
006,006_electric_kettle_hidden_gooseneck.png,전기주전자,히든 · 구즈넥형,"아래쪽이 둥글고 위로 좁아지는 몸통에 길고 가느다란 S자 구즈넥 주둥이와 크게 굽은 손잡이, 납작한 전원 받침이 붙은 전기주전자 한 개. 통통한 일반 전기주전자와 실루엣이 확실히 다르며 글자, 눈금, 로고는 없음.","짙은 남색, 구리색, 크림색, 검정색 포인트",측면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
007,007_toy_train_hidden_bullet_train.png,장난감기차,히든 · 고속열차형,"앞부분이 길고 둥글게 뾰족한 유선형 코와 낮은 지붕, 짧게 이어진 객차 한 칸이 있는 장난감 고속열차 한 대. 증기기관차형 일반 디자인과 달리 굴뚝이 없고 매끈한 총알기차 실루엣이며, 작은 바퀴는 몸체 아래에 단순하게 표현함. 글자, 번호, 로고는 없음.","흰색, 하늘색, 짙은 파란색, 노란색 포인트",측면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
008,008_dinosaur_toy_hidden_triceratops.png,공룡인형,히든 · 트리케라톱스형,"머리 뒤의 넓고 둥근 프릴과 이마의 긴 뿔 두 개, 코 위의 짧은 뿔 하나, 네 개의 짧고 통통한 다리를 가진 트리케라톱스 봉제인형 한 개. 티라노사우루스형 일반 디자인과 머리와 자세의 실루엣이 확실히 다르며 천 조각 이음선만 짧게 표현함.","연한 주황색, 크림색, 연두색, 짙은 갈색 포인트",측면 3/4 시점,작음,제한축 기준 약 35–40% (보통의 약 1/2),
009,009_telescope_hidden_spyglass.png,망원경,히든 · 손망원경,"앞쪽이 넓고 뒤쪽으로 갈수록 가늘어지는 여러 마디의 접이식 해적 손망원경 한 개. 한 손에 들 수 있는 짧은 통 구조이며 삼각대는 없음. 삼각대 천체망원경형 일반 디자인과 실루엣이 확실히 다르고 사람, 손, 글자는 없음.","짙은 남색, 금색, 갈색, 하늘색 포인트",측면 대각선 3/4 시점,큼,제한축 기준 약 78–83% (보통의 약 1.1배),
010,010_spaceship_hidden_flying_saucer.png,우주선,히든 · 원반형 비행접시,"넓고 납작한 원반 몸체 중앙에 둥근 투명 돔이 올라간 비행접시형 우주선 한 대. 원반 아래에는 둥근 착륙 지지대 세 개와 작은 원형 불빛이 일정한 간격으로 붙어 있음. 탐사 로켓형 일반 디자인과 실루엣이 확실히 다르며 외계인, 우주 배경, 광선, 글자, 로고는 없음.","은색, 하늘색, 민트색, 노란색, 보라색 포인트",살짝 위에서 바라본 측면 3/4 시점,아주큼,제한축 기준 약 90–94% (가장자리 여백만 남김),
